service,port,transport
policyserver,3055,tcp
cdl-server,3056,tcp
goahead-fldup,3057,tcp
videobeans,3058,tcp
qsoft,3059,tcp
interserver,3060,tcp
cautcpd,3061,tcp
ncacn-ip-tcp,3062,tcp
ncadg-ip-udp,3063,tcp
rprt,3064,tcp
slinterbase,3065,tcp
netattachsdmp,3066,tcp
fjhpjp,3067,tcp
ls3bcast,3068,tcp
ls3,3069,tcp
mgxswitch,3070,tcp
xplat-replicate,3071,tcp
csd-monitor,3072,tcp
vcrp,3073,tcp
xbox,3074,tcp
orbix-locator,3075,tcp
orbix-config,3076,tcp
orbix-loc-ssl,3077,tcp
orbix-cfg-ssl,3078,tcp
lv-frontpanel,3079,tcp
stm-pproc,3080,tcp
tl1-lv,3081,tcp
tl1-raw,3082,tcp
tl1-telnet,3083,tcp
itm-mccs,3084,tcp
pcihreq,3085,tcp
jdl-dbkitchen,3086,tcp
asoki-sma,3087,tcp
xdtp,3088,tcp
ptk-alink,3089,tcp
stss,3090,tcp
1ci-smcs,3091,tcp
rapidmq-center,3093,tcp
rapidmq-reg,3094,tcp
panasas,3095,tcp
ndl-aps,3096,tcp
umm-port,3098,tcp
chmd,3099,tcp
opcon-xps,3100,tcp
hp-pxpib,3101,tcp
slslavemon,3102,tcp
autocuesmi,3103,tcp
autocuelog,3104,tcp
cardbox,3105,tcp
cardbox-http,3106,tcp
business,3107,tcp
geolocate,3108,tcp
personnel,3109,tcp
sim-control,3110,tcp
wsynch,3111,tcp
ksysguard,3112,tcp
cs-auth-svr,3113,tcp
ccmad,3114,tcp
mctet-master,3115,tcp
mctet-gateway,3116,tcp
mctet-jserv,3117,tcp
pkagent,3118,tcp
d2000kernel,3119,tcp
d2000webserver,3120,tcp
pcmk-remote,3121,tcp
vtr-emulator,3122,tcp
edix,3123,tcp
beacon-port,3124,tcp
a13-an,3125,tcp
ctx-bridge,3127,tcp
ndl-aas,3128,tcp
netport-id,3129,tcp
icpv2,3130,tcp
netbookmark,3131,tcp
ms-rule-engine,3132,tcp
prism-deploy,3133,tcp
ecp,3134,tcp
peerbook-port,3135,tcp
grubd,3136,tcp
rtnt-1,3137,tcp
rtnt-2,3138,tcp
incognitorv,3139,tcp
ariliamulti,3140,tcp
vmodem,3141,tcp
rdc-wh-eos,3142,tcp
seaview,3143,tcp
tarantella,3144,tcp
csi-lfap,3145,tcp
bears-02,3146,tcp
rfio,3147,tcp
nm-game-admin,3148,tcp
nm-game-server,3149,tcp
nm-asses-admin,3150,tcp
nm-assessor,3151,tcp
feitianrockey,3152,tcp
s8-client-port,3153,tcp
ccmrmi,3154,tcp
jpegmpeg,3155,tcp
indura,3156,tcp
lsa-comm,3157,tcp
stvp,3158,tcp
navegaweb-port,3159,tcp
tip-app-server,3160,tcp
doc1lm,3161,tcp
sflm,3162,tcp
res-sap,3163,tcp
imprs,3164,tcp
newgenpay,3165,tcp
sossecollector,3166,tcp
nowcontact,3167,tcp
poweronnud,3168,tcp
serverview-as,3169,tcp
serverview-asn,3170,tcp
serverview-gf,3171,tcp
serverview-rm,3172,tcp
serverview-icc,3173,tcp
armi-server,3174,tcp
t1-e1-over-ip,3175,tcp
ars-master,3176,tcp
phonex-port,3177,tcp
radclientport,3178,tcp
h2gf-w-2m,3179,tcp
mc-brk-srv,3180,tcp
bmcpatrolagent,3181,tcp
bmcpatrolrnvu,3182,tcp
cops-tls,3183,tcp
apogeex-port,3184,tcp
smpppd,3185,tcp
iiw-port,3186,tcp
odi-port,3187,tcp
brcm-comm-port,3188,tcp
pcle-infex,3189,tcp
csvr-proxy,3190,tcp
csvr-sslproxy,3191,tcp
firemonrcc,3192,tcp
spandataport,3193,tcp
magbind,3194,tcp
ncu-1,3195,tcp
ncu-2,3196,tcp
embrace-dp-s,3197,tcp
embrace-dp-c,3198,tcp
dmod-workspace,3199,tcp
tick-port,3200,tcp
cpq-tasksmart,3201,tcp
intraintra,3202,tcp
netwatcher-mon,3203,tcp
netwatcher-db,3204,tcp
isns,3205,tcp
ironmail,3206,tcp
vx-auth-port,3207,tcp
pfu-prcallback,3208,tcp
netwkpathengine,3209,tcp
flamenco-proxy,3210,tcp
avsecuremgmt,3211,tcp
surveyinst,3212,tcp
neon24x7,3213,tcp
jmq-daemon-1,3214,tcp
jmq-daemon-2,3215,tcp
ferrari-foam,3216,tcp
unite,3217,tcp
smartpackets,3218,tcp
wms-messenger,3219,tcp
xnm-ssl,3220,tcp
xnm-clear-text,3221,tcp
glbp,3222,tcp
digivote,3223,tcp
aes-discovery,3224,tcp
fcip-port,3225,tcp
isi-irp,3226,tcp
dwnmshttp,3227,tcp
dwmsgserver,3228,tcp
global-cd-port,3229,tcp
sftdst-port,3230,tcp
vidigo,3231,tcp
mdtp,3232,tcp
whisker,3233,tcp
alchemy,3234,tcp
mdap-port,3235,tcp
apparenet-ts,3236,tcp
apparenet-tps,3237,tcp
apparenet-as,3238,tcp
apparenet-ui,3239,tcp
triomotion,3240,tcp
sysorb,3241,tcp
sdp-id-port,3242,tcp
timelot,3243,tcp
onesaf,3244,tcp
vieo-fe,3245,tcp
dvt-system,3246,tcp
dvt-data,3247,tcp
procos-lm,3248,tcp
ssp,3249,tcp
hicp,3250,tcp
sysscanner,3251,tcp
dhe,3252,tcp
pda-data,3253,tcp
pda-sys,3254,tcp
semaphore,3255,tcp
cpqrpm-agent,3256,tcp
cpqrpm-server,3257,tcp
ivecon-port,3258,tcp
epncdp2,3259,tcp
iscsi-target,3260,tcp
winshadow,3261,tcp
necp,3262,tcp
ecolor-imager,3263,tcp
ccmail,3264,tcp
altav-tunnel,3265,tcp
ns-cfg-server,3266,tcp
ibm-dial-out,3267,tcp
msft-gc,3268,tcp
msft-gc-ssl,3269,tcp
verismart,3270,tcp
csoft-prev,3271,tcp
user-manager,3272,tcp
sxmp,3273,tcp
ordinox-server,3274,tcp
samd,3275,tcp
maxim-asics,3276,tcp
awg-proxy,3277,tcp
lkcmserver,3278,tcp
admind,3279,tcp
vs-server,3280,tcp
sysopt,3281,tcp
datusorb,3282,tcp
net-assistant,3283,tcp
4talk,3284,tcp
plato,3285,tcp
e-net,3286,tcp
directvdata,3287,tcp
cops,3288,tcp
enpc,3289,tcp
caps-lm,3290,tcp
sah-lm,3291,tcp
cart-o-rama,3292,tcp
fg-fps,3293,tcp
fg-gip,3294,tcp
dyniplookup,3295,tcp
rib-slm,3296,tcp
cytel-lm,3297,tcp
deskview,3298,tcp
pdrncs,3299,tcp
ceph,3300,tcp
tarantool,3301,tcp
mcs-fastmail,3302,tcp
opsession-clnt,3303,tcp
opsession-srvr,3304,tcp
odette-ftp,3305,tcp
mysql,3306,tcp
opsession-prxy,3307,tcp
tns-server,3308,tcp
tns-adv,3309,tcp
dyna-access,3310,tcp
mcns-tel-ret,3311,tcp
appman-server,3312,tcp
uorb,3313,tcp
uohost,3314,tcp
cdid,3315,tcp
aicc-cmi,3316,tcp
vsaiport,3317,tcp
ssrip,3318,tcp
sdt-lmd,3319,tcp
officelink2000,3320,tcp
vnsstr,3321,tcp
sftu,3326,tcp
bbars,3327,tcp
egptlm,3328,tcp
hp-device-disc,3329,tcp
mcs-calypsoicf,3330,tcp
mcs-messaging,3331,tcp
mcs-mailsvr,3332,tcp
dec-notes,3333,tcp
directv-web,3334,tcp
directv-soft,3335,tcp
directv-tick,3336,tcp
directv-catlg,3337,tcp
anet-b,3338,tcp
anet-l,3339,tcp
anet-m,3340,tcp
anet-h,3341,tcp
webtie,3342,tcp
ms-cluster-net,3343,tcp
bnt-manager,3344,tcp
influence,3345,tcp
trnsprntproxy,3346,tcp
phoenix-rpc,3347,tcp
pangolin-laser,3348,tcp
chevinservices,3349,tcp
findviatv,3350,tcp
btrieve,3351,tcp
ssql,3352,tcp
fatpipe,3353,tcp
suitjd,3354,tcp
ordinox-dbase,3355,tcp
upnotifyps,3356,tcp
adtech-test,3357,tcp
mpsysrmsvr,3358,tcp
wg-netforce,3359,tcp
kv-server,3360,tcp
kv-agent,3361,tcp
dj-ilm,3362,tcp
nati-vi-server,3363,tcp
creativeserver,3364,tcp
contentserver,3365,tcp
creativepartnr,3366,tcp
tip2,3372,tcp
lavenir-lm,3373,tcp
cluster-disc,3374,tcp
vsnm-agent,3375,tcp
cdbroker,3376,tcp
cogsys-lm,3377,tcp
wsicopy,3378,tcp
socorfs,3379,tcp
sns-channels,3380,tcp
geneous,3381,tcp
fujitsu-neat,3382,tcp
esp-lm,3383,tcp
hp-clic,3384,tcp
qnxnetman,3385,tcp
gprs-data,3386,tcp
backroomnet,3387,tcp
cbserver,3388,tcp
ms-wbt-server,3389,tcp
dsc,3390,tcp
savant,3391,tcp
efi-lm,3392,tcp
d2k-tapestry1,3393,tcp
d2k-tapestry2,3394,tcp
dyna-lm,3395,tcp
printer-agent,3396,tcp
cloanto-lm,3397,tcp
mercantile,3398,tcp
csms,3399,tcp
csms2,3400,tcp
filecast,3401,tcp
fxaengine-net,3402,tcp
nokia-ann-ch1,3405,tcp
nokia-ann-ch2,3406,tcp
ldap-admin,3407,tcp
BESApi,3408,tcp
networklens,3409,tcp
networklenss,3410,tcp
biolink-auth,3411,tcp
xmlblaster,3412,tcp
svnet,3413,tcp
wip-port,3414,tcp
bcinameservice,3415,tcp
commandport,3416,tcp
csvr,3417,tcp
rnmap,3418,tcp
softaudit,3419,tcp
ifcp-port,3420,tcp
bmap,3421,tcp
rusb-sys-port,3422,tcp
xtrm,3423,tcp
xtrms,3424,tcp
agps-port,3425,tcp
arkivio,3426,tcp
websphere-snmp,3427,tcp
twcss,3428,tcp
gcsp,3429,tcp
ssdispatch,3430,tcp
ndl-als,3431,tcp
osdcp,3432,tcp
opnet-smp,3433,tcp
opencm,3434,tcp
pacom,3435,tcp
gc-config,3436,tcp
autocueds,3437,tcp
spiral-admin,3438,tcp
hri-port,3439,tcp
ans-console,3440,tcp
connect-client,3441,tcp
connect-server,3442,tcp
ov-nnm-websrv,3443,tcp
denali-server,3444,tcp
monp,3445,tcp
3comfaxrpc,3446,tcp
directnet,3447,tcp
dnc-port,3448,tcp
hotu-chat,3449,tcp
castorproxy,3450,tcp
asam,3451,tcp
sabp-signal,3452,tcp
pscupd,3453,tcp
mira,3454,tcp
prsvp,3455,tcp
vat,3456,tcp
vat-control,3457,tcp
d3winosfi,3458,tcp
integral,3459,tcp
edm-manager,3460,tcp
edm-stager,3461,tcp
edm-std-notify,3462,tcp
edm-adm-notify,3463,tcp
edm-mgr-sync,3464,tcp
edm-mgr-cntrl,3465,tcp
workflow,3466,tcp
rcst,3467,tcp
ttcmremotectrl,3468,tcp
pluribus,3469,tcp
jt400,3470,tcp
jt400-ssl,3471,tcp
jaugsremotec-1,3472,tcp
jaugsremotec-2,3473,tcp
ttntspauto,3474,tcp
genisar-port,3475,tcp
nppmp,3476,tcp
ecomm,3477,tcp
stun,3478,tcp
twrpc,3479,tcp
plethora,3480,tcp
cleanerliverc,3481,tcp
vulture,3482,tcp
slim-devices,3483,tcp
gbs-stp,3484,tcp
celatalk,3485,tcp
ifsf-hb-port,3486,tcp
ltctcp,3487,tcp
fs-rh-srv,3488,tcp
dtp-dia,3489,tcp
colubris,3490,tcp
swr-port,3491,tcp
tvdumtray-port,3492,tcp
nut,3493,tcp
ibm3494,3494,tcp
seclayer-tcp,3495,tcp
seclayer-tls,3496,tcp
ipether232port,3497,tcp
dashpas-port,3498,tcp
sccip-media,3499,tcp
rtmp-port,3500,tcp
isoft-p2p,3501,tcp
avinstalldisc,3502,tcp
lsp-ping,3503,tcp
ironstorm,3504,tcp
ccmcomm,3505,tcp
apc-3506,3506,tcp
nesh-broker,3507,tcp
interactionweb,3508,tcp
vt-ssl,3509,tcp
xss-port,3510,tcp
webmail-2,3511,tcp
aztec,3512,tcp
arcpd,3513,tcp
must-p2p,3514,tcp
must-backplane,3515,tcp
smartcard-port,3516,tcp
802-11-iapp,3517,tcp
artifact-msg,3518,tcp
nvmsgd,3519,tcp
galileolog,3520,tcp
mc3ss,3521,tcp
nssocketport,3522,tcp
odeumservlink,3523,tcp
ecmport,3524,tcp
eisport,3525,tcp
starquiz-port,3526,tcp
beserver-msg-q,3527,tcp
jboss-iiop,3528,tcp
jboss-iiop-ssl,3529,tcp
gf,3530,tcp
joltid,3531,tcp
raven-rmp,3532,tcp
raven-rdp,3533,tcp
urld-port,3534,tcp
ms-la,3535,tcp
snac,3536,tcp
ni-visa-remote,3537,tcp
ibm-diradm,3538,tcp
ibm-diradm-ssl,3539,tcp
pnrp-port,3540,tcp
voispeed-port,3541,tcp
hacl-monitor,3542,tcp
qftest-lookup,3543,tcp
teredo,3544,tcp
camac,3545,tcp
symantec-sim,3547,tcp
interworld,3548,tcp
tellumat-nms,3549,tcp
ssmpp,3550,tcp
apcupsd,3551,tcp
taserver,3552,tcp
rbr-discovery,3553,tcp
questnotify,3554,tcp
razor,3555,tcp
sky-transport,3556,tcp
personalos-001,3557,tcp
mcp-port,3558,tcp
cctv-port,3559,tcp
iniserve-port,3560,tcp
bmc-onekey,3561,tcp
sdbproxy,3562,tcp
watcomdebug,3563,tcp
esimport,3564,tcp
m2pa,3565,tcp
quest-data-hub,3566,tcp
dof-eps,3567,tcp
dof-tunnel-sec,3568,tcp
mbg-ctrl,3569,tcp
mccwebsvr-port,3570,tcp
megardsvr-port,3571,tcp
megaregsvrport,3572,tcp
tag-ups-1,3573,tcp
dmaf-server,3574,tcp
ccm-port,3575,tcp
cmc-port,3576,tcp
config-port,3577,tcp
data-port,3578,tcp
ttat3lb,3579,tcp
nati-svrloc,3580,tcp
kfxaclicensing,3581,tcp
press,3582,tcp
canex-watch,3583,tcp
u-dbap,3584,tcp
emprise-lls,3585,tcp
emprise-lsc,3586,tcp
p2pgroup,3587,tcp
sentinel,3588,tcp
isomair,3589,tcp
wv-csp-sms,3590,tcp
gtrack-server,3591,tcp
gtrack-ne,3592,tcp
bpmd,3593,tcp
mediaspace,3594,tcp
shareapp,3595,tcp
iw-mmogame,3596,tcp
a14,3597,tcp
a15,3598,tcp
quasar-server,3599,tcp
trap-daemon,3600,tcp
visinet-gui,3601,tcp
infiniswitchcl,3602,tcp
int-rcv-cntrl,3603,tcp
bmc-jmx-port,3604,tcp
comcam-io,3605,tcp
splitlock,3606,tcp
precise-i3,3607,tcp
trendchip-dcp,3608,tcp
cpdi-pidas-cm,3609,tcp
echonet,3610,tcp
six-degrees,3611,tcp
dataprotector,3612,tcp
alaris-disc,3613,tcp
sigma-port,3614,tcp
start-network,3615,tcp
cd3o-protocol,3616,tcp
sharp-server,3617,tcp
aairnet-1,3618,tcp
aairnet-2,3619,tcp
ep-pcp,3620,tcp
ep-nsp,3621,tcp
ff-lr-port,3622,tcp
haipe-discover,3623,tcp
dist-upgrade,3624,tcp
volley,3625,tcp
bvcdaemon-port,3626,tcp
jamserverport,3627,tcp
ept-machine,3628,tcp
escvpnet,3629,tcp
cs-remote-db,3630,tcp
cs-services,3631,tcp
distcc,3632,tcp
wacp,3633,tcp
hlibmgr,3634,tcp
sdo,3635,tcp
servistaitsm,3636,tcp
scservp,3637,tcp
ehp-backup,3638,tcp
xap-ha,3639,tcp
netplay-port1,3640,tcp
netplay-port2,3641,tcp
juxml-port,3642,tcp
audiojuggler,3643,tcp
ssowatch,3644,tcp
cyc,3645,tcp
xss-srv-port,3646,tcp
splitlock-gw,3647,tcp
fjcp,3648,tcp
nmmp,3649,tcp
prismiq-plugin,3650,tcp
xrpc-registry,3651,tcp
vxcrnbuport,3652,tcp
tsp,3653,tcp
vaprtm,3654,tcp
abatemgr,3655,tcp
abatjss,3656,tcp
immedianet-bcn,3657,tcp
ps-ams,3658,tcp
apple-sasl,3659,tcp
can-nds-ssl,3660,tcp
can-ferret-ssl,3661,tcp
pserver,3662,tcp
dtp,3663,tcp
ups-engine,3664,tcp
ent-engine,3665,tcp
eserver-pap,3666,tcp
infoexch,3667,tcp
dell-rm-port,3668,tcp
casanswmgmt,3669,tcp
smile,3670,tcp
efcp,3671,tcp
lispworks-orb,3672,tcp
mediavault-gui,3673,tcp
wininstall-ipc,3674,tcp
calltrax,3675,tcp
va-pacbase,3676,tcp
roverlog,3677,tcp
ipr-dglt,3678,tcp
newton-dock,3679,tcp
npds-tracker,3680,tcp
bts-x73,3681,tcp
cas-mapi,3682,tcp
bmc-ea,3683,tcp
faxstfx-port,3684,tcp
dsx-agent,3685,tcp
tnmpv2,3686,tcp
simple-push,3687,tcp
simple-push-s,3688,tcp
daap,3689,tcp
svn,3690,tcp
magaya-network,3691,tcp
intelsync,3692,tcp
easl,3693,tcp
bmc-data-coll,3695,tcp
telnetcpcd,3696,tcp
nw-license,3697,tcp
sagectlpanel,3698,tcp
kpn-icw,3699,tcp
lrs-paging,3700,tcp
netcelera,3701,tcp
ws-discovery,3702,tcp
adobeserver-3,3703,tcp
adobeserver-4,3704,tcp
adobeserver-5,3705,tcp
rt-event,3706,tcp
rt-event-s,3707,tcp
sun-as-iiops,3708,tcp
ca-idms,3709,tcp
portgate-auth,3710,tcp
edb-server2,3711,tcp
sentinel-ent,3712,tcp
tftps,3713,tcp
delos-dms,3714,tcp
anoto-rendezv,3715,tcp
wv-csp-sms-cir,3716,tcp
wv-csp-udp-cir,3717,tcp
opus-services,3718,tcp
itelserverport,3719,tcp
ufastro-instr,3720,tcp
xsync,3721,tcp
xserveraid,3722,tcp
sychrond,3723,tcp
blizwow,3724,tcp
na-er-tip,3725,tcp
array-manager,3726,tcp
e-mdu,3727,tcp
e-woa,3728,tcp
fksp-audit,3729,tcp
client-ctrl,3730,tcp
smap,3731,tcp
m-wnn,3732,tcp
multip-msg,3733,tcp
synel-data,3734,tcp
pwdis,3735,tcp
rs-rmi,3736,tcp
xpanel,3737,tcp
versatalk,3738,tcp
launchbird-lm,3739,tcp
heartbeat,3740,tcp
wysdma,3741,tcp
cst-port,3742,tcp
ipcs-command,3743,tcp
sasg,3744,tcp
gw-call-port,3745,tcp
linktest,3746,tcp
linktest-s,3747,tcp
webdata,3748,tcp
cimtrak,3749,tcp
cbos-ip-port,3750,tcp
gprs-cube,3751,tcp
vipremoteagent,3752,tcp
nattyserver,3753,tcp
timestenbroker,3754,tcp
sas-remote-hlp,3755,tcp
canon-capt,3756,tcp
grf-port,3757,tcp
apw-registry,3758,tcp
exapt-lmgr,3759,tcp
adtempusclient,3760,tcp
gsakmp,3761,tcp
gbs-smp,3762,tcp
xo-wave,3763,tcp
mni-prot-rout,3764,tcp
rtraceroute,3765,tcp
sitewatch-s,3766,tcp
listmgr-port,3767,tcp
rblcheckd,3768,tcp
haipe-otnk,3769,tcp
cindycollab,3770,tcp
paging-port,3771,tcp
ctp,3772,tcp
ctdhercules,3773,tcp
zicom,3774,tcp
ispmmgr,3775,tcp
dvcprov-port,3776,tcp
jibe-eb,3777,tcp
c-h-it-port,3778,tcp
cognima,3779,tcp
nnp,3780,tcp
abcvoice-port,3781,tcp
iso-tp0s,3782,tcp
bim-pem,3783,tcp
bfd-control,3784,tcp
bfd-echo,3785,tcp
upstriggervsw,3786,tcp
fintrx,3787,tcp
isrp-port,3788,tcp
remotedeploy,3789,tcp
quickbooksrds,3790,tcp
tvnetworkvideo,3791,tcp
sitewatch,3792,tcp
dcsoftware,3793,tcp
jaus,3794,tcp
myblast,3795,tcp
spw-dialer,3796,tcp
idps,3797,tcp
minilock,3798,tcp
radius-dynauth,3799,tcp
pwgpsi,3800,tcp
ibm-mgr,3801,tcp
vhd,3802,tcp
soniqsync,3803,tcp
iqnet-port,3804,tcp
tcpdataserver,3805,tcp
wsmlb,3806,tcp
spugna,3807,tcp
sun-as-iiops-ca,3808,tcp
apocd,3809,tcp
wlanauth,3810,tcp
amp,3811,tcp
neto-wol-server,3812,tcp
rap-ip,3813,tcp
neto-dcs,3814,tcp
lansurveyorxml,3815,tcp
sunlps-http,3816,tcp
tapeware,3817,tcp
crinis-hb,3818,tcp
epl-slp,3819,tcp
scp,3820,tcp
pmcp,3821,tcp
acp-discovery,3822,tcp
acp-conduit,3823,tcp
acp-policy,3824,tcp
ffserver,3825,tcp
warmux,3826,tcp
netmpi,3827,tcp
neteh,3828,tcp
neteh-ext,3829,tcp
cernsysmgmtagt,3830,tcp
dvapps,3831,tcp
xxnetserver,3832,tcp
aipn-auth,3833,tcp
spectardata,3834,tcp
spectardb,3835,tcp
markem-dcp,3836,tcp
mkm-discovery,3837,tcp
sos,3838,tcp
amx-rms,3839,tcp
flirtmitmir,3840,tcp
shiprush-db-svr,3841,tcp
nhci,3842,tcp
quest-agent,3843,tcp
rnm,3844,tcp
v-one-spp,3845,tcp
an-pcp,3846,tcp
msfw-control,3847,tcp
item,3848,tcp
spw-dnspreload,3849,tcp
qtms-bootstrap,3850,tcp
spectraport,3851,tcp
sse-app-config,3852,tcp
sscan,3853,tcp
stryker-com,3854,tcp
opentrac,3855,tcp
informer,3856,tcp
trap-port,3857,tcp
trap-port-mom,3858,tcp
nav-port,3859,tcp
sasp,3860,tcp
winshadow-hd,3861,tcp
giga-pocket,3862,tcp
asap-tcp,3863,tcp
asap-tcp-tls,3864,tcp
xpl,3865,tcp
dzdaemon,3866,tcp
dzoglserver,3867,tcp
diameter,3868,tcp
ovsam-mgmt,3869,tcp
ovsam-d-agent,3870,tcp
avocent-adsap,3871,tcp
oem-agent,3872,tcp
fagordnc,3873,tcp
sixxsconfig,3874,tcp
pnbscada,3875,tcp
dl-agent,3876,tcp
xmpcr-interface,3877,tcp
fotogcad,3878,tcp
appss-lm,3879,tcp
igrs,3880,tcp
idac,3881,tcp
msdts1,3882,tcp
vrpn,3883,tcp
softrack-meter,3884,tcp
topflow-ssl,3885,tcp
nei-management,3886,tcp
ciphire-data,3887,tcp
ciphire-serv,3888,tcp
dandv-tester,3889,tcp
ndsconnect,3890,tcp
rtc-pm-port,3891,tcp
pcc-image-port,3892,tcp
cgi-starapi,3893,tcp
syam-agent,3894,tcp
syam-smc,3895,tcp
sdo-tls,3896,tcp
sdo-ssh,3897,tcp
senip,3898,tcp
itv-control,3899,tcp
udt-os,3900,tcp
nimsh,3901,tcp
nimaux,3902,tcp
charsetmgr,3903,tcp
omnilink-port,3904,tcp
mupdate,3905,tcp
topovista-data,3906,tcp
imoguia-port,3907,tcp
hppronetman,3908,tcp
surfcontrolcpa,3909,tcp
prnrequest,3910,tcp
prnstatus,3911,tcp
gbmt-stars,3912,tcp
listcrt-port,3913,tcp
listcrt-port-2,3914,tcp
agcat,3915,tcp
wysdmc,3916,tcp
aftmux,3917,tcp
pktcablemmcops,3918,tcp
hyperip,3919,tcp
exasoftport1,3920,tcp
herodotus-net,3921,tcp
sor-update,3922,tcp
symb-sb-port,3923,tcp
mpl-gprs-port,3924,tcp
zmp,3925,tcp
winport,3926,tcp
natdataservice,3927,tcp
netboot-pxe,3928,tcp
smauth-port,3929,tcp
syam-webserver,3930,tcp
msr-plugin-port,3931,tcp
dyn-site,3932,tcp
plbserve-port,3933,tcp
sunfm-port,3934,tcp
sdp-portmapper,3935,tcp
mailprox,3936,tcp
dvbservdsc,3937,tcp
dbcontrol-agent,3938,tcp
aamp,3939,tcp
xecp-node,3940,tcp
homeportal-web,3941,tcp
srdp,3942,tcp
tig,3943,tcp
sops,3944,tcp
emcads,3945,tcp
backupedge,3946,tcp
ccp,3947,tcp
apdap,3948,tcp
drip,3949,tcp
namemunge,3950,tcp
pwgippfax,3951,tcp
i3-sessionmgr,3952,tcp
xmlink-connect,3953,tcp
adrep,3954,tcp
p2pcommunity,3955,tcp
gvcp,3956,tcp
mqe-broker,3957,tcp
mqe-agent,3958,tcp
treehopper,3959,tcp
bess,3960,tcp
proaxess,3961,tcp
sbi-agent,3962,tcp
thrp,3963,tcp
sasggprs,3964,tcp
ati-ip-to-ncpe,3965,tcp
bflckmgr,3966,tcp
ppsms,3967,tcp
ianywhere-dbns,3968,tcp
landmarks,3969,tcp
lanrevagent,3970,tcp
lanrevserver,3971,tcp
iconp,3972,tcp
progistics,3973,tcp
xk22,3974,tcp
airshot,3975,tcp
opswagent,3976,tcp
opswmanager,3977,tcp
secure-cfg-svr,3978,tcp
smwan,3979,tcp
starfish,3981,tcp
eis,3982,tcp
eisp,3983,tcp
mapper-nodemgr,3984,tcp
mapper-mapethd,3985,tcp
mapper-ws-ethd,3986,tcp
centerline,3987,tcp
dcs-config,3988,tcp
bv-queryengine,3989,tcp
bv-is,3990,tcp
bv-smcsrv,3991,tcp
bv-ds,3992,tcp
bv-agent,3993,tcp
iss-mgmt-ssl,3995,tcp
abcsoftware,3996,tcp
agentsease-db,3997,tcp
dnx,3998,tcp
nvcnet,3999,tcp
terabase,4000,tcp
newoak,4001,tcp
pxc-spvr-ft,4002,tcp
pxc-splr-ft,4003,tcp
pxc-roid,4004,tcp
pxc-pin,4005,tcp
pxc-spvr,4006,tcp
pxc-splr,4007,tcp
netcheque,4008,tcp
chimera-hwm,4009,tcp
samsung-unidex,4010,tcp
altserviceboot,4011,tcp
pda-gate,4012,tcp
acl-manager,4013,tcp
taiclock,4014,tcp
talarian-mcast1,4015,tcp
talarian-mcast2,4016,tcp
talarian-mcast3,4017,tcp
talarian-mcast4,4018,tcp
talarian-mcast5,4019,tcp
trap,4020,tcp
nexus-portal,4021,tcp
dnox,4022,tcp
esnm-zoning,4023,tcp
tnp1-port,4024,tcp
partimage,4025,tcp
as-debug,4026,tcp
bxp,4027,tcp
dtserver-port,4028,tcp
ip-qsig,4029,tcp
jdmn-port,4030,tcp
suucp,4031,tcp
vrts-auth-port,4032,tcp
sanavigator,4033,tcp
ubxd,4034,tcp
wap-push-http,4035,tcp
wap-push-https,4036,tcp
ravehd,4037,tcp
fazzt-ptp,4038,tcp
fazzt-admin,4039,tcp
yo-main,4040,tcp
houston,4041,tcp
ldxp,4042,tcp
nirp,4043,tcp
ltp,4044,tcp
npp,4045,tcp
acp-proto,4046,tcp
ctp-state,4047,tcp
wafs,4049,tcp
cisco-wafs,4050,tcp
cppdp,4051,tcp
interact,4052,tcp
ccu-comm-1,4053,tcp
ccu-comm-2,4054,tcp
ccu-comm-3,4055,tcp
lms,4056,tcp
wfm,4057,tcp
kingfisher,4058,tcp
dlms-cosem,4059,tcp
dsmeter-iatc,4060,tcp
ice-location,4061,tcp
ice-slocation,4062,tcp
ice-router,4063,tcp
ice-srouter,4064,tcp
avanti-cdp,4065,tcp
pmas,4066,tcp
idp,4067,tcp
ipfltbcst,4068,tcp
minger,4069,tcp
tripe,4070,tcp
aibkup,4071,tcp
zieto-sock,4072,tcp
iRAPP,4073,tcp
cequint-cityid,4074,tcp
perimlan,4075,tcp
seraph,4076,tcp
cssp,4078,tcp
santools,4079,tcp
lorica-in,4080,tcp
lorica-in-sec,4081,tcp
lorica-out,4082,tcp
lorica-out-sec,4083,tcp
ezmessagesrv,4085,tcp
applusservice,4087,tcp
npsp,4088,tcp
opencore,4089,tcp
omasgport,4090,tcp
ewinstaller,4091,tcp
ewdgs,4092,tcp
pvxpluscs,4093,tcp
sysrqd,4094,tcp
xtgui,4095,tcp
bre,4096,tcp
patrolview,4097,tcp
drmsfsd,4098,tcp
dpcp,4099,tcp
igo-incognito,4100,tcp
brlp-0,4101,tcp
brlp-1,4102,tcp
brlp-2,4103,tcp
brlp-3,4104,tcp
shofar,4105,tcp
synchronite,4106,tcp
j-ac,4107,tcp
accel,4108,tcp
izm,4109,tcp
g2tag,4110,tcp
xgrid,4111,tcp
apple-vpns-rp,4112,tcp
aipn-reg,4113,tcp
jomamqmonitor,4114,tcp
cds,4115,tcp
smartcard-tls,4116,tcp
hillrserv,4117,tcp
netscript,4118,tcp
assuria-slm,4119,tcp
minirem,4120,tcp
e-builder,4121,tcp
fprams,4122,tcp
z-wave,4123,tcp
tigv2,4124,tcp
opsview-envoy,4125,tcp
